timeframe,persona,desbalance_persona_monto_neto,desbalance_persona_meses_envia_extremo,desbalance_persona_meses_recibe_extremo,interpretabilidad
todo_el_tiempo,P0015,220975.02999999997,1,0,"En la ventana 'todo_el_tiempo', la persona P0015 presenta un desbalance neto de 220,975.03, con meses extremos al enviar: 1 y al recibir: 0."
todo_el_tiempo,P0271,-189152.29,1,1,"En la ventana 'todo_el_tiempo', la persona P0271 presenta un desbalance neto de -189,152.29, con meses extremos al enviar: 1 y al recibir: 1."
todo_el_tiempo,P0110,187348.47,0,0,"En la ventana 'todo_el_tiempo', la persona P0110 presenta un desbalance neto de 187,348.47, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0102,156889.3,0,0,"En la ventana 'todo_el_tiempo', la persona P0102 presenta un desbalance neto de 156,889.30, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0267,149099.71,0,0,"En la ventana 'todo_el_tiempo', la persona P0267 presenta un desbalance neto de 149,099.71, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0151,-146338.75,0,1,"En la ventana 'todo_el_tiempo', la persona P0151 presenta un desbalance neto de -146,338.75, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0141,142906.92,0,0,"En la ventana 'todo_el_tiempo', la persona P0141 presenta un desbalance neto de 142,906.92, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0155,142404.83,1,0,"En la ventana 'todo_el_tiempo', la persona P0155 presenta un desbalance neto de 142,404.83, con meses extremos al enviar: 1 y al recibir: 0."
todo_el_tiempo,P0272,-141575.99,0,0,"En la ventana 'todo_el_tiempo', la persona P0272 presenta un desbalance neto de -141,575.99, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0147,-137808.69,0,1,"En la ventana 'todo_el_tiempo', la persona P0147 presenta un desbalance neto de -137,808.69, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0030,137761.59,2,0,"En la ventana 'todo_el_tiempo', la persona P0030 presenta un desbalance neto de 137,761.59, con meses extremos al enviar: 2 y al recibir: 0."
todo_el_tiempo,P0306,-136809.24,0,1,"En la ventana 'todo_el_tiempo', la persona P0306 presenta un desbalance neto de -136,809.24, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0299,-136051.15,0,0,"En la ventana 'todo_el_tiempo', la persona P0299 presenta un desbalance neto de -136,051.15, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0281,129472.72,0,0,"En la ventana 'todo_el_tiempo', la persona P0281 presenta un desbalance neto de 129,472.72, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0146,-127253.24999999999,0,1,"En la ventana 'todo_el_tiempo', la persona P0146 presenta un desbalance neto de -127,253.25, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0180,124829.54000000001,0,0,"En la ventana 'todo_el_tiempo', la persona P0180 presenta un desbalance neto de 124,829.54, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0084,-123272.43999999999,0,0,"En la ventana 'todo_el_tiempo', la persona P0084 presenta un desbalance neto de -123,272.44, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0023,-122915.39000000001,0,0,"En la ventana 'todo_el_tiempo', la persona P0023 presenta un desbalance neto de -122,915.39, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0035,-122757.09,0,0,"En la ventana 'todo_el_tiempo', la persona P0035 presenta un desbalance neto de -122,757.09, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0119,-122060.49000000002,0,0,"En la ventana 'todo_el_tiempo', la persona P0119 presenta un desbalance neto de -122,060.49, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0148,121750.62000000002,0,0,"En la ventana 'todo_el_tiempo', la persona P0148 presenta un desbalance neto de 121,750.62, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0111,117213.71999999999,1,0,"En la ventana 'todo_el_tiempo', la persona P0111 presenta un desbalance neto de 117,213.72, con meses extremos al enviar: 1 y al recibir: 0."
todo_el_tiempo,P0243,-115078.54,0,0,"En la ventana 'todo_el_tiempo', la persona P0243 presenta un desbalance neto de -115,078.54, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0105,115022.2,2,0,"En la ventana 'todo_el_tiempo', la persona P0105 presenta un desbalance neto de 115,022.20, con meses extremos al enviar: 2 y al recibir: 0."
todo_el_tiempo,P0153,-108118.94,0,0,"En la ventana 'todo_el_tiempo', la persona P0153 presenta un desbalance neto de -108,118.94, con meses extremos al enviar: 0 y al recibir: 0."
todo_el_tiempo,P0296,107385.61,1,0,"En la ventana 'todo_el_tiempo', la persona P0296 presenta un desbalance neto de 107,385.61, con meses extremos al enviar: 1 y al recibir: 0."
todo_el_tiempo,P0303,-106950.32,0,1,"En la ventana 'todo_el_tiempo', la persona P0303 presenta un desbalance neto de -106,950.32, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0029,-105105.59000000001,0,1,"En la ventana 'todo_el_tiempo', la persona P0029 presenta un desbalance neto de -105,105.59, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0192,-102581.34999999999,0,1,"En la ventana 'todo_el_tiempo', la persona P0192 presenta un desbalance neto de -102,581.35, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0081,-101052.29000000001,0,1,"En la ventana 'todo_el_tiempo', la persona P0081 presenta un desbalance neto de -101,052.29, con meses extremos al enviar: 0 y al recibir: 1."
todo_el_tiempo,P0277,-99526.88,0,0,"En la ventana 'todo_el_tiempo', la persona P0277 presenta un desbalance neto de -99,526.88, con meses extremos al enviar: 0 y al recibir: 0."
